sentiment,text
-1,@chrishasboobs AHHH I HOPE YOUR OK!!! 
-1,"@misstoriblack cool , i have no tweet apps  for my razr 2"
-1,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u"
-1,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(
-1,upper airways problem 
-1,Going to miss Pastor's sermon on Faith... 
1,on lunch....dj should come eat with me 
-1,@piginthepoke oh why are you feeling like that? 
-1,gahh noo!peyton needs to live!this is horrible 
1,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!
1,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! 
1,to sum up my day in one word ......... kackered! 
1,@k9wkj Great minds think alike 
-1,Is Poorly and in bed! 
1,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows..."
1,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% "
1,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school "
-1,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  
-1,"ugh, morning's off to a rough start "
-1,just bit my tongue 
-1,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! 
1,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla 
1,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. "
1,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za
-1,"baby's chicken pox are soo bad on the face, I am afraid she might have scars "
-1,i don't feel good 
1,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! 
-1,This day will pass slowly.  All of these days will.  RAWR!!!!  ... 
-1,my car is poorly 
1,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part
1,No woooooork tomorrrow&amp;tuesday 
-1,Flatmates are still in the bathroom! ARGGH!! 
-1,I'm having an allergic reaction to silver earings 
-1,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??"
-1,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less "
-1,what is with msn making me click the wrong people. garrrrr 
-1,Too full of fizz but not enough cider 
1,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ
-1,Time to sleep... Long day again tomorrow 
1,Hahaha blakk is reckkkin it. :p throwwwwwed. 
1,Cubs game today! My first ever 
1,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! 
1,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.
1,eating cha with eric 
1,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it "
-1,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet 
1,"@Konstantine I said &quot;scar,&quot; sweetie. "
-1,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...
1,FCK-Brï¿½ndby 4-0! 
-1,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with 
1,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day
1,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing "
-1,@ElleChanel want to shoot...but i'm not in charlotte .. 
1,@sephrenia1982 good work 
1,@KingdomGuard welcome new cd out this week...maybe even tomorrow! 
-1,@CatholicChicks hate bein on the phone that long 
1,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too "
1,@melbgirl It means the same to us!  #GoCats
-1,"beach this morning,bbq this afternoon. Back to school/work 2morro "
1,@joshlam and you are how old?? REALLY?!? 
-1,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??
1,Watched Crank 2.... awesome 
1,@TheUncoolest 
1,Night in with the rock star...  
1,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 
1,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! 
-1,"my tooth is sving, and I cannot see my dentist for a week "
-1,cant sleep got heartburn really bad 
1,Off to Whipsnade  Hope it's dry
-1,Going To Bed ...My Ankle Hurts 
-1,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay 
-1,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.
1,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing "
1,Listening to the Nutcracker.  Who says it's only a Christmas thing?! 
1,"i miss him, i cant wait to see him, im happy "
-1,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 
1,"@mithss mourniiiiiiing eh, morniiing!!! "
1,@pamelaong Glad the blog helped 
1,Awesome pumpkin! Your famous 
-1,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? "
1,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.
-1,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
1,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! 
1,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; "
-1,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad 
-1,I am so hungry  I hate not eating breakfast!
-1,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish 
1,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. 
-1,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. 
1,@ItsNeet 100%.. its like getting an A for all your classes.. 
1,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early "
1,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. 
1,i have find my someone 
1,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us 
1,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt
